,periodo,hora,mean,std
0,Confinamiento estricto,0,1.9809877804989362,4.521241237411442
1,Confinamiento estricto,1,1.5068339696463973,4.405575425293918
2,Confinamiento estricto,2,1.331102203999346,4.340961268108556
3,Confinamiento estricto,3,1.2562015101695752,4.273185489734856
4,Confinamiento estricto,4,1.2776722462594368,4.288461882255644
5,Confinamiento estricto,5,1.6370903801272418,4.307228947865171
6,Confinamiento estricto,6,3.9948824616496004,6.485601986618975
7,Confinamiento estricto,7,6.980510949332272,8.730044234004078
8,Confinamiento estricto,8,7.890752664821781,8.683649952809283
9,Confinamiento estricto,9,7.471955194949126,7.602120576139229
10,Confinamiento estricto,10,7.429904040715435,7.19089550089641
11,Confinamiento estricto,11,7.705284541510045,7.266604775625015
12,Confinamiento estricto,12,8.009387729035877,7.395218711830181
13,Confinamiento estricto,13,8.355009376116412,7.71818144076126
14,Confinamiento estricto,14,9.758630339671994,9.260143716481872
15,Confinamiento estricto,15,9.46447861678525,9.689510284772613
16,Confinamiento estricto,16,6.559145180219116,6.804449438775336
17,Confinamiento estricto,17,5.860667619925939,6.201538484556438
18,Confinamiento estricto,18,6.002438061298623,6.343785877087666
19,Confinamiento estricto,19,5.607854473229269,5.938881451888468
20,Confinamiento estricto,20,5.068194437362251,5.6468860299173205
21,Confinamiento estricto,21,4.622854488711382,5.447532902217337
22,Confinamiento estricto,22,4.006816735977758,5.246257587869631
23,Confinamiento estricto,23,2.928432187312301,4.731294313852644
24,Primeros casos,0,8.731202163821777,8.999852027679804
25,Primeros casos,1,6.097266639230798,7.8518696085607695
26,Primeros casos,2,4.47306400663984,6.844253895052663
27,Primeros casos,3,3.6845334058188364,6.31903657276592
28,Primeros casos,4,3.320914978242866,5.931790174440731
29,Primeros casos,5,3.865614881390125,6.023039762561164
30,Primeros casos,6,8.251744204544249,10.662517379278801
31,Primeros casos,7,18.177180566495384,18.50605708877213
32,Primeros casos,8,26.986751075924268,22.475998164234337
33,Primeros casos,9,28.238412001153055,21.531215685467537
34,Primeros casos,10,24.771702310568394,17.96524210723338
35,Primeros casos,11,25.439177123019668,17.449802049006507
36,Primeros casos,12,26.95959519099072,17.94544715961875
37,Primeros casos,13,28.022989516124305,18.480406055532587
38,Primeros casos,14,30.113184738325394,19.807249461178884
39,Primeros casos,15,27.07673281842866,19.243051732525267
40,Primeros casos,16,25.87463658104829,18.59226968537402
41,Primeros casos,17,28.632915060881988,19.518056260991713
42,Primeros casos,18,30.341558371465787,20.211086498962906
43,Primeros casos,19,30.392093205649836,19.974932408639066
44,Primeros casos,20,27.816139710112004,18.67804649122129
45,Primeros casos,21,22.73992028877837,16.36769188801575
46,Primeros casos,22,16.044608307855462,12.753570345687997
47,Primeros casos,23,11.386982698281567,10.16899852439897
